entity_id,segment_id,horizon_y,event_era,missing_count,population_bin,gdp_bin,energy_per_capita_bin,energy_per_gdp_bin,electricity_demand_per_capita_bin,carbon_intensity_elec_bin,fossil_share_energy_bin,renewables_share_energy_bin,low_carbon_share_energy_bin,energy_cons_change_pct_bin,fossil_cons_change_pct_bin,renewables_cons_change_pct_bin,fossil_share_elec_bin,renewables_share_elec_bin,low_carbon_share_elec_bin,fossil_share_energy_chg1_bin,renewables_share_energy_chg1_bin,energy_cons_change_pct_std5_bin,fossil_share_energy_std5_bin,slice_hard_transition,target_fossil_share_rebound_next,row_id
-816668599911829433,0,1,1,0,5,7,9,6,10,2,1,10,10,4,5,3,2,10,9,9,2,0,7,0,1,108
-816668599911829433,0,1,1,0,5,8,9,6,10,2,2,10,9,4,10,0,2,9,9,11,0,0,11,0,0,109
-816668599911829433,0,1,1,0,5,8,9,6,10,2,2,10,9,7,5,8,2,10,9,1,11,1,11,0,0,110
-816668599911829433,0,1,1,0,5,8,9,6,10,2,2,10,9,5,6,5,2,10,9,4,7,0,10,0,0,111
-816668599911829433,0,1,1,0,6,8,9,5,10,2,2,10,9,2,2,5,2,10,9,2,9,1,9,0,0,112
-816668599911829433,0,1,1,0,6,8,9,5,10,2,1,10,10,2,1,6,2,10,9,1,11,1,9,0,0,113
-816668599911829433,0,1,1,0,6,8,9,5,10,2,1,10,10,4,4,5,2,10,9,3,8,1,8,0,0,114
-816668599911829433,0,1,1,0,6,8,9,5,10,1,1,11,10,1,0,6,2,10,9,0,11,1,10,0,1,115
-816668599911829433,0,1,2,0,6,8,9,5,10,2,1,11,10,6,9,2,2,10,9,11,0,2,9,0,0,116
-816668599911829433,0,1,2,0,6,8,9,4,10,2,1,10,10,1,1,1,2,10,9,10,1,4,8,0,0,117
-816668599911829433,0,1,2,0,6,8,9,4,10,1,1,11,10,7,1,9,1,10,10,0,11,5,10,0,0,118
-816668599911829433,0,1,2,0,6,8,9,4,10,1,1,11,10,3,4,3,1,10,10,9,2,5,10,0,0,119
-816668599911829433,0,1,2,0,6,8,9,4,10,1,1,11,10,1,1,3,1,10,10,2,10,5,10,0,1,120
-816668599911829433,0,1,2,0,6,8,9,4,10,1,1,11,10,4,7,2,1,10,10,11,0,4,10,0,0,121
-816668599911829433,0,1,3,0,6,8,9,4,10,1,1,11,10,6,6,6,1,10,10,2,10,3,5,0,0,122
-816668599911829433,0,1,3,0,6,8,9,4,10,1,1,11,10,5,7,3,1,10,10,10,1,2,6,0,0,123
-949260540042517656,0,1,0,7,5,4,8,11,-1,-1,9,3,2,7,7,11,-1,4,3,-1,-1,-1,-1,0,0,128
-949260540042517656,0,1,0,5,5,4,8,11,-1,-1,9,3,2,1,1,6,-1,4,3,4,7,-1,-1,0,0,129
-949260540042517656,0,1,0,3,5,3,7,11,-1,-1,9,3,2,0,0,3,-1,4,4,4,8,8,2,0,0,130
-949260540042517656,0,1,0,3,5,3,6,11,-1,-1,8,4,3,0,0,11,-1,5,4,1,10,8,6,0,1,131
-949260540042517656,0,1,0,3,5,2,6,11,-1,-1,8,4,3,0,0,0,-1,5,4,9,1,8,6,0,0,132
-949260540042517656,0,1,0,3,5,2,6,11,-1,-1,9,4,2,1,1,1,-1,5,4,8,2,5,5,0,0,133
-949260540042517656,0,1,0,3,5,2,5,11,-1,-1,8,4,3,0,0,3,-1,4,4,3,8,5,4,0,0,134
-949260540042517656,0,1,0,3,5,2,5,11,-1,-1,8,5,3,1,1,7,-1,5,4,3,8,6,4,0,0,135
-949260540042517656,0,1,0,3,5,2,5,11,-1,-1,7,5,4,4,4,8,-1,5,4,3,8,7,5,0,1,136
-949260540042517656,0,1,0,3,5,3,5,11,-1,-1,8,4,3,3,5,0,-1,4,4,10,1,7,5,0,0,137
-949260540042517656,0,1,1,0,5,3,5,11,5,7,8,4,3,7,8,4,8,4,4,7,3,8,4,0,0,138
-949260540042517656,0,1,1,0,5,3,5,11,5,8,8,4,3,1,2,1,8,4,3,9,2,4,4,0,0,139
-949260540042517656,0,1,1,0,6,3,5,10,5,7,7,5,4,2,2,11,7,5,4,1,10,3,5,0,0,140
-949260540042517656,0,1,1,0,6,3,5,10,5,7,7,5,4,9,10,9,7,5,4,3,8,5,6,0,0,141
-949260540042517656,0,1,1,0,6,4,5,10,5,7,7,5,4,10,11,7,7,5,4,7,3,7,6,0,0,142
-949260540042517656,0,1,1,0,6,4,5,10,5,7,7,5,4,9,10,7,7,5,4,7,4,7,6,0,1,143
-949260540042517656,0,1,1,0,6,5,5,8,5,7,8,5,3,2,3,0,7,5,4,9,1,7,3,0,0,144
-949260540042517656,0,1,1,0,6,5,5,6,5,7,8,5,3,0,0,2,7,5,4,5,6,8,3,0,0,145
